registration_number,surname,firstname,other_names,gender,parent_number,address,current_class
,,,,,,,
2565,gvjhbk,james,wakaba,inyanjui,male,7.97E+11,4b
4578,ncn,gchvjb,l;knj,k;lj,12345678,665656,4a
4712,gvjhbk,james,wakaba,inyanjui,male,7.97E+11,4b
2354,ncn,gchvjb,l;knj,k;lj,12345678,665656,4a
1234,gvjhbk,james,wakaba,inyanjui,male,7.97E+11,4b
4152,ncn,gchvjb,l;knj,k;lj,12345678,665656,4a
1,Sigmund,Seviour,sseviour0@dion.ne.jp,Bigender,241.255.212.173,,
2,Artur,Maber,amaber1@fotki.com,Male,78.60.25.21,,
3,Cleve,Quin,cquin2@kickstarter.com,Male,239.195.236.116,,
4,Lanny,Hartrick,lhartrick3@sphinn.com,Female,133.136.211.102,,
5,Ailis,Al Hirsi,aalhirsi4@vk.com,Female,174.218.228.69,,
6,Winfield,Kohring,wkohring5@cbslocal.com,Male,21.211.23.206,,
7,Benjie,Doughty,bdoughty6@amazonaws.com,Male,137.57.196.112,,
8,Brocky,Norville,bnorville7@techcrunch.com,Male,8.69.149.155,,
9,Ellary,Gleave,egleave8@eventbrite.com,Bigender,124.212.243.18,,
10,Kate,Parke,kparke9@blinklist.com,Non-binary,167.68.170.23,,
11,Lionel,Crossfield,lcrossfielda@so-net.ne.jp,Male,221.8.27.148,,
12,Clint,Sandcroft,csandcroftb@cpanel.net,Bigender,195.11.172.234,,
13,Mattie,Cuskery,mcuskeryc@japanpost.jp,Female,22.78.221.46,,
14,Daisie,Murty,dmurtyd@seattletimes.com,Female,168.114.168.154,,
15,Carena,Klaas,cklaase@senate.gov,Female,40.201.67.124,,
16,Uriel,Breston,ubrestonf@parallels.com,Male,15.164.51.176,,
17,Nels,Kingaby,nkingabyg@yahoo.co.jp,Male,242.14.172.127,,
18,Sigrid,Gosalvez,sgosalvezh@ameblo.jp,Female,124.249.10.25,,
